Project Number,Work Order Number,Item Number,Issued Qty
70043,8860,SSABS/2,30
70043,8860,OC-13 -013-018-0039,30
70033,8861,C-E00100,200
70033,8861,BSC/4,100
70033,8861,DFA4,100
70033,8837,DA-250DH,6
70033,8797,PMD-HT-0329,240
70033,8797,25-0905-00012,5
70033,8797,58585,1000
70033,8797,STC-54C6,200
70033,8797,ECP100,600
70033,8797,DFA4,100
70033,8797,BSP-4,50
70033,8797,BSC/4,100
70033,8797,ES1100,300
70033,8852,13-3316-00082,30
70033,8882,5500008,4
70033,8863,95-200-99,2000
70033,8863,03-1605-00039,500
70033,8863,CCHEP-1111BB,60
70033,8863,SPH-01P,60
70033,8863,E-CASE-F2525/12,60
70040,8853,N-8000EX-CE,1
70040,8836,GNA_F_00868657,36
70040,8836,GNA_F_00868665,60
70040,8836,THR 10-3,500
70040,8836,LP-FXN-NUT-SPG-GLM06,1000
70040,8836,USCE075,250
70040,8796,50119,3000
70040,8796,BSP-3,150
70040,8796,USCE075,700
70040,8796,53-4203-00009,100
70040,8859,PMD-HT-0329,200
70040,8862,79798814,15
70040,8862,ECN075,300
70040,8862,ECP075,300
70040,8862,EPA/2,30
70040,8862,03-1605-00062,268
70040,8876,50119,4000
70040,8876,USCE075,700
70040,8876,LP-FXN-NUT-HEX-GL06,6000
70040,8876,LP-FXN-NUT-HEX-GL06,5000
70040,8876,PMD-HT-0329,200
70040,8876,USCE100,700
70040,8876,40MM ROOFING BOLT,2000
70040,8877,03-9101-00041,1
70040,8877,03-9101-00040,1
70052,8875,OC-40 -040-001-0115,1014
70052,8875,DWE100Y,400
70052,8875,STC.52171-3/4,400
70052,8875,OC-13 -013-005-0061,700
70052,8875,PMD-HT-0279,120
70052,8875,ES1075,5000
70052,8875,21-2401-00002,2500
70052,8875,451DC,2000
70052,8875,OC-40 -040-001-0116,700
70052,8875,ECN100,400
70052,8875,ES1100,1000
70052,8875,ECP100,300
70052,8857,4100-9701-7,1
70052,8857,4100-9701-17,1
70052,8835,IMH-034STL-FLX-UL,15
70052,8855,4090-9001,400
70052,8855,4090-9010,200
70052,8855,2084-9023,10
70052,8795,STC.52171-3/4,350
70052,8795,58-c1,500
70052,8795,ES1075,1500
70052,8795,451DC,2000
70052,8795,PMD-HT-0279,100
70052,8795,13-3316-00026,50
70052,8795,DWE100Y,600
70052,8795,21-2401-00002,400
70052,8795,OC-13 -013-036-0004,200
70052,8795,07-2013-00009,200
70052,8795,52-C-1,1100
70052,8795,OC-13 -013-005-0061,700
70052,8795,ECP100,700
70052,8795,OC-40 -040-001-0116,600
70052,8854,13-0390-00016,15
70052,8854,PMD-HT-0279,180
70052,8858,OC-40 -040-001-0115,1521
70052,8858,STC.52171-3/4,500
70052,8858,52-C-1,500
70052,8858,21-2401-00002,2000
70063,8881,OC-13 -013-001-0003,60
70063,8881,PMD-HT-0201,60
70063,8881,25-0301-00008,60
70063,8881,OC-13 -013-026-0004,150
70034,222,03-0501-00015,55
70034,222,03-0501-00021,35
70034,222,03-2902-00009,46
70034,222,03-0501-00018,47
70034,222,03-0501-00022,12
70034,222,03-1605-00144,47
70034,222,13-0390-00010,3000
70034,222,03-1902-00008,46
