System_Work_Order,Item Number,Issued Qty
614822,4099-9005,241.0
614822,4090-9010,200.0
614822,4009-9808,25.0
614795,23-0305-00006,507.0
614795,DFA 3,600.0
614795,USC075,1000.0
614795,PMD-HT-0108,3.0
614782,DK 7721,1.0
614782,XDS,1.0
614782,XMIC+,3.0
614782,XFOC,1.0
614782,RFAN,1.0
614782,X19-3RU,1.0
614782,RMF,4.0
614783,BELDEN 4000UE,10.0
614784,CCXEDR-D0047-C003-L7,15.0
614740,7979815,7.0
614740,E-CASE-F2525/12,50.0
614776,23-0305-00006,845.0
614776,DCV3,300.0
614776,IPG4141203000H,100.0
614776,461DC,2000.0
614776,13-3311-00005,300.0
614776,PMD-HT-0279,60.0
614776,M7C-375-422,20.0
614776,M7-R6000,10.0
614777,13-0390-00008,6.0
614830,26.05.33-34.36.01,300.0
614830,26.05.33-13.92.86,400.0
614830,26.05.33-13.92.92,800.0
614831,26.05.83-16.07.01,45.0
614838,DP-KP-KAR,30.0
614838,13-0501-00059,100.0
614832,SMC-9-SCLC-M,6.0
614832,000201G4Z31001.5M,250.0
614833,87-V/E2K,1.0
614834,SPLHC25/25M,5.0
614835,TH-0045-C-GTR103000,25.0
614835,SC44_F_00184696,10.0
614836,52171 1,50.0
614836,60090,1000.0
614836,652DC,450.0
614836,202,400.0
614836,H1033DC,500.0
614836,376967,200.0
614836,662DC,300.0
614837,C9500-24Y4C-A,2.0
614837,CAB-C13-CBN,4.0
614837,C9K-PWR-650WAC-R,2.0
614837,C9K-PWR-650WAC-R/2,2.0
614837,GLC-LH-SMD=,4.0
614837,C9300-24T-A,1.0
614837,PWR-C1-350WAC-P,1.0
614837,PWR-C1-350WAC-P/2,1.0
614837,STACK-T1-50CM,1.0
614837,CAB-SPWR-30CM,1.0
614837,C9300-NM-4G,1.0
