Item Number,Item Description,Quantity,UM,To Location,To Unit Cost,To Extended Amount,WO#
SPLHC63 25M,"Liquid Tight Flexible Conduit,",20,RL,SITE,"3,050.00","61,000.00",360
LT206,"Connector, Straight, 2"", Die C",200,EA,SITE,41.5,"8,300.00",360
DTC4,Telescopic Coupler 32mm,504,EA,SITE,6.9,"3,477.60",360
,,,,,,,
004E8J-EG115EYL,Corning Fiber Optic Cables,78370,MT,SITE,2.9236,"229,122.53",361
ZA08WKF01- A1000,Belden Cable,22000,MT,SITE,3.5,"77,000.00",361
ZA08WKF01-X1000,Belden Cable,9940,MT,SITE,3.5,"34,790.00",361
,,,,,,,
8.0C-H6A-D1-IR,IR Dome Camera,18,EA,SITE,"2,779.99","50,039.88",362
CCXFCB-L0047-C002-L7,"S/FTP 1200/22 A-XR, 4P, LS0H-3",2000,MT,SITE,4.655,"9,310.00",362
GNA_F_00304511,HDG TRUNKING 50X50X1.5X3000 MM,203,EA,SITE,77.0133,"15,633.70",362
GNA_F_00607697,Cable Trunking Angle,240,EA,SITE,40.9438,"9,826.51",362
SPLHC32 25M,"Liquid Tight Flexible Conduit,",4,EA,SITE,"1,351.73","5,406.93",362
SPIT-58585-,SPIT STEEL ANCHOR - GRIP L M10,2000,EA,SITE,0.85,"1,700.00",362
TOP-DUCT TAPE,"Duct Tape, 2""",48,EA,SITE,1.7,81.6,362
,,,,,,,
CE00100,EMT Conduit 1 inch,1016,EA,SITE,20.0009,"20,320.91",363
USC100,"Universal Strut Clamp, 1 Inch",2000,EA,SITE,1.2,"2,400.00",363
SPIT-58585-,SPIT STEEL ANCHOR - GRIP L M10,2000,EA,SITE,0.85,"1,700.00",363
60090,Hammer-set Anchor with Screw,3000,EA,SITE,0.6846,"2,053.80",363
,,,,,,,
03-1605-00081,In/Out LSZH dielectric armored,1000,MT,SITE,15.0951,"15,095.10",364
H51-032-01-WH,Wall Mounting Kit (White),2,EA,SITE,0,,364
,,,,,,,
1120343,OLFLEX CLASSIC 110 Black,200,MT,SITE,17.38,"3,476.00",365
1121342,OLFLEX CLASSIC 110 CY BK,200,MT,SITE,27.84,"5,568.00",365
,,,,,,,
CUSTFLRBX,Customized Floorbox Inlet Out,9,EA,SITE,"14,868.63","133,817.64",366
AVATUS-C-36,AVATUS Control Surface 36 Face,3,EA,SITE,"289,146.20","867,438.59",366
CUSTOM ENCLOSURE,Customized Enclosure,6,EA,SITE,"7,074.18","42,445.08",366
H51-035-00,IP55 Kit,100,EA,SITE,0,,366
,,,,,,,
040402G5Z20003M,FO-Patchcord Assembly Duplex 3,303,EA,SITE,48.2976,"14,634.17",369
CCAAGB-G1002-A015-C0,"S/FTP FLEX/26,CAT.6A,GY,2XRJ45",82,EA,SITE,24,"1,968.00",369
CCAAGB-G1002-A020-C0,Corning,97,EA,SITE,27,"2,619.00",369
5307114,RAL 7035 WHD 800x20,2,EA,SITE,"6,058.94","12,117.88",369
8108245,"Side panel, screw-fastened",2,EA,SITE,759.1972,"1,518.39",369
5503020,Fan mounting plate,2,EA,SITE,956.9919,"1,913.98",369
7990000,DK Fan expansion kit,2,EA,SITE,173.6708,347.34,369
6450060,"SM Connection cable, For power",1,EA,SITE,33.4016,33.4,369
5302052,IT Cable duct,2,EA,SITE,572.7965,"1,145.59",369
GENELEC 8050BPM,2-Way Active Studio Monitor,12,EA,SITE,"4,543.62","54,523.40",369
8000-402B,"Wall Mount, Black",12,EA,SITE,414.421,"4,973.05",369
9001AP,Volume Control,12,EA,SITE,408.3221,"4,899.87",369
SFP28-25G-LR,Dell 0YR96 25Gb FC Long Range,40,EA,SITE,"1,615.08","64,603.20",369
,,,,,,,
DCV6,PVC Conduit 2 inch (50 mm),500,EA,SITE,13.45,"6,725.00",370
DHB6,PVC Elbow 2 inch (50 mm),200,EA,SITE,8.6538,"1,730.76",370
DNC6,PVC Coupling 2 inch (50 mm),200,EA,SITE,1.41,282,370
,,,,,,"1,774,038.90",
