Project Number,Work Order Number,Item Number,Issued Qty
70060,360,SPLHC63 25M,20
70060,360,LT206,200
70060,360,DTC4,504
70060,361,004E8J-EG115EYL,78370
70060,361,ZA08WKF01- A1000,22000
70060,361,ZA08WKF01-X1000,9940
70060,362,8.0C-H6A-D1-IR,18
70060,362,CCXFCB-L0047-C002-L7,2000
70060,362,GNA_F_00304511,203
70060,362,GNA_F_00607697,240
70060,362,SPLHC32 25M,4
70060,362,SPIT-58585-,2000
70060,362,TOP-DUCT TAPE,48
70060,363,CE00100,1016
70060,363,USC100,2000
70060,363,SPIT-58585-,2000
70060,363,60090,3000
70060,364,03-1605-00081,1000
70060,364,H51-032-01-WH,2
70060,365,1120343,200
70060,365,1121342,200
70060,366,CUSTFLRBX,9
70060,366,AVATUS-C-36,3
70060,366,CUSTOM ENCLOSURE,6
70060,366,H51-035-00,100
70060,369,040402G5Z20003M,303
70060,369,CCAAGB-G1002-A015-C0,82
70060,369,CCAAGB-G1002-A020-C0,97
70060,369,5307114,2
70060,369,8108245,2
70060,369,5503020,2
70060,369,7990000,2
70060,369,6450060,1
70060,369,5302052,2
70060,369,GENELEC 8050BPM,12
70060,369,8000-402B,12
70060,369,9001AP,12
70060,369,SFP28-25G-LR,40
70060,370,DCV6,500
70060,370,DHB6,200
70060,370,DNC6,200
