System_Work_Order,Item Number,Issued Qty
610298,26.05.33-00.55.02,200
610299,03-5290-00102,50
610299,03-5290-00103,50
610300,709DC,500
610301,50119,20000
610302,25MM ROOFING BOLT,6100
610303,709DC,1000
610303,50119,5000
610304,IFBLWD8H41H,250
610305,004E8J-EG115EYL,3788
610305,004E8J-EG114EGR,4032
610305,04T8J-EG111EAQ,4041
610305,13-0401-00128,6
610306,004E8J-EG115EYL,6102
610306,04T8J-EG111EAQ,6067
610306,13-0401-00128,6
610306,13-0401-00134,10
610307,03-1607-00006,28
610307,13-3790-00009,56
610308,BSP-4,100
610308,BSP-3,100
610308,23-0305-00043,5
610308,710DC,200
610308,LP-FXN-BLT-RFG-GL0620NW,200
610308,LP-FXN-BLT-RFG-GL0620NW,2000
610308,40MM ROOFING BOLT,500
610309,13-0606-00019,100
610309,03-1607-00006,21
610310,5307114,2
610310,5329111,1
610311,23-0305-00043,10
610312,03-1605-00084,500
610312,03-1605-00085,500
610312,07-1502-00052,500
610312,07-1502-00059,500
610312,03-1605-00062,1000
610313,26.05.33-16.64.02,190
610314,0C-40 -040-003-0070,4
610314,53-2001-00003,4
610314,53-2290-00002,4
610315,GNA_F_00868657,72
610315,STFP_F_00545525,300
610315,GNA_F_00868933,20
610315,GNA_F_00868934,20
610315,THR 10-3,300
610315,GNA_F_00868941,25
610315,GNA_F_00868940,15
610315,LP-FXN-NUT-HEX-GL10,20000
610315,LP-FXN-NUT-HEX-GL08,20000
610315,LP-FXN-WSR-FLT-GL08,20000
610316,23-0305-00043,5
610316,LP-FXN-BLT-RFG-GL0620NW,5000
610316,52-C-1,500
610316,710DC,2000
610316,THR 10-3,50
